#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L98-670        1896.003  2317.012  13.058   0.002 1.21400    0.393961  11.939   1.348   1.386   0.653 303 275 239 162
  L98-675        1806.071  2418.879  15.029   0.007 1.21400    0.393961  13.415   1.904   2.101   1.002 304 288 245 180
  L98-676        1881.963  2441.753  14.030   0.004 1.21400    0.393961  13.087   1.169   1.376   0.677 277 248 229 153
  L98-682        1803.879  2597.223  14.229   0.004 1.21400    0.393961  13.760   0.628   0.709   0.336 268 251 208 148
  L98-685        1659.379  2706.461  12.275   0.001 1.21400    0.393961  11.959   0.464   0.573   0.283 271 250 226 152
  L98-688         936.778  2721.732  12.924   0.002 1.21400    0.393961  12.762   0.290   0.355   0.198 236 225 199 122
  L98-712        1671.445  3358.323  11.615   0.001 1.21400    0.393961  11.578   0.165   0.232   0.130 165 148 127  94
  L98-724        1882.843  3776.715  11.999   0.001 1.21400    0.393961  11.112   1.096   1.111   0.524 157 131 124  77
  L98-S74        1920.106    29.114  16.139   0.021 1.21400    0.393961  16.117   0.830   1.064   0.562 144 139 141  77
  L98-S80        1286.132   120.308  15.587   0.013 1.21400    0.393961  15.079   0.660   0.806   0.408 161 153 149  83
  L98-S83        1339.922   142.914  16.586   0.030 1.21400    0.393961  16.261   0.690   0.857   0.464 163 155 146  83
  L98-S97         813.589   282.809  16.157   0.020 1.21400    0.393961  15.591   0.688   0.839   0.424 173 158 161  84
  L98-S104       1194.074   348.045  16.597   0.029 1.21400    0.393961  15.982   0.755   0.905   0.453 165 163 152  92
  L98-S113       1385.299   394.842  16.116   0.019 1.21400    0.393961  15.207   1.273   1.460   0.715 162 160 148  87
  L98-S114       1459.120   396.593  15.773   0.014 1.21400    0.393961  15.166   0.710   0.871   0.417 160 160 146  84
  L98-S115        557.593   397.900  14.700   0.006 1.21400    0.393961  13.647   1.226   1.388   0.679 163 155 152  83
  L98-S117        385.701   400.379  16.157   0.020 1.21400    0.393961  15.457   0.910   1.073   0.528 158 153 148  82
  L98-S118        121.734   420.740  16.259   0.021 1.21400    0.393961  15.628   0.740   0.905   0.455 157 155 150  84
  L98-S125        833.926   486.402  14.214   0.004 1.21400    0.393961  13.034   1.373   1.476   0.703 178 167 166  93
  L98-S126        600.658   485.280  16.124   0.019 1.21400    0.393961  15.483   0.792   0.932   0.461 171 163 159  89
  L98-S131       1193.437   503.904  13.714   0.003 1.21400    0.393961  13.470   0.382   0.517   0.299 173 169 155  93
  L98-S132       1712.702   521.522  15.853   0.016 1.21400    0.393961  15.322   0.690   0.829   0.410 172 169 158  93
  L98-S134       1963.977   530.005  16.421   0.026 1.21400    0.393961  15.861   0.704   0.864   0.435 169 165 151  91
  L98-S145       1699.882   581.022  12.689   0.002 1.21400    0.393961  12.470   0.324   0.512   0.267 173 168 159  95
  L98-S152        721.387   632.429  15.872   0.016 1.21400    0.393961  15.344   0.679   0.862   0.443 177 169 163  93
  L98-S158       1002.824   644.978  16.099   0.018 1.21400    0.393961  15.699   0.549   0.689   0.386 173 169 152  90
  L98-S159       1984.500   658.054  16.294   0.023 1.21400    0.393961  15.832   0.733   0.894   0.451 174 173 156  91
  L98-S173       1711.038   719.665  15.341   0.010 1.21400    0.393961  14.849   0.641   0.806   0.410 170 167 156  93
  L98-S176        609.917   727.321  16.093   0.019 1.21400    0.393961  15.684   0.512   0.635   0.361 161 160 144  89
  L98-S180        384.450   744.899  14.357   0.005 1.21400    0.393961  13.918   0.565   0.689   0.349 157 157 144  91
  L98-S181       1576.975   783.776  15.925   0.016 1.21400    0.393961  15.299   0.747   0.876   0.425 168 164 157  92
  L98-S182       1062.679   778.971  14.230   0.004 1.21400    0.393961  13.832   0.542   0.654   0.328 171 165 159  94
  L98-S184       1290.909   785.201  15.012   0.008 1.21400    0.393961  14.503   0.674   0.808   0.403 171 164 157  93
  L98-S185        884.349   782.651  15.900   0.017 1.21400    0.393961  15.396   0.600   0.751   0.389 169 164 155  91
  L98-S188        718.504   789.867  15.596   0.013 1.21400    0.393961  15.146   0.466   0.565   0.312 163 163 151  90
  L98-S194       1515.808   855.029  16.538   0.027 1.21400    0.393961  15.927   0.776   0.985   0.511 174 166 164  94
  L98-S196       1360.805   863.167  16.640   0.030 1.21400    0.393961  16.116   0.619   0.808   0.450 181 165 168  94
