#Star             Xc        Yc      Mag      Merr  Airmass UT             V       B-V     V-I      R-I   nV nBV nVI nRI 
  L107-S698      1652.033  2782.944  17.106   0.041 1.37800    5.709024  17.563   1.223   1.469   0.644  45  33  39  31
  L107-S706      1559.897  2852.906  17.303   0.047 1.37800    5.709024  17.929   0.544   0.740   0.387  44  34  35  30
  L107-S716      1361.113  2972.476  17.229   0.044 1.37800    5.709024  17.520   1.033   1.278   0.584  47  37  38  33
  L107-S736       163.192  3271.384  17.044   0.038 1.37800    5.709024  17.428   0.604   0.778   0.413  43  36  37  31
  L107-S742      1320.443  3350.921  16.699   0.028 1.37800    5.709024  17.112   0.706   0.851   0.428  45  37  38  33
  L107-S745      1660.920  3387.818  17.008   0.037 1.37800    5.709024  17.458   0.921   1.128   0.542  38  29  34  30
  L107-S755      1197.654  3542.204  14.104   0.004 1.37800    5.709024  14.496   0.811   0.870   0.412  44  36  38  32
  L107-S758      1936.509  3566.555  16.857   0.031 1.37800    5.709024  17.341   0.714   0.871   0.423  41  33  33  29
  L107-S766      1201.269  3594.451  17.317   0.047 1.37800    5.709024  17.660   0.725   0.884   0.439  44  36  37  32
  L107-S779       399.965  3731.987  15.987   0.014 1.37800    5.709024  16.404   0.534   0.705   0.371  44  35  38  31
  L107-S782       972.980  3774.618  15.438   0.010 1.37800    5.709024  15.885   0.660   0.803   0.411  43  35  36  31
  L107-S783       391.143  3784.590  16.764   0.030 1.37800    5.709024  17.215   0.675   0.818   0.419  42  33  36  27
  L107-S785      1344.990  3869.493  16.407   0.022 1.37800    5.709024  16.813   0.676   0.797   0.392  38  28  30  24
  L107-S787       720.758  3897.591  17.046   0.040 1.37800    5.709024  17.424   0.653   0.806   0.409  37  27  29  23
  L107-S788      1172.832  3908.897  16.341   0.020 1.37800    5.709024  16.782   0.711   0.809   0.393  37  27  28  23
  L107-S789      1258.617  3966.122  15.552   0.011 1.37800    5.709024  15.994   0.832   0.966   0.463  37  26  28  23
  L107-S790       981.347  3963.997  14.228   0.004 1.37800    5.709024  14.673   0.713   0.805   0.377  37  27  28  23
  L107-S1162     1255.471  1894.795  16.348   0.020 1.37800    5.709024  16.782   0.877   1.004   0.468  69  54  66  49
  L107-S1276     1720.424  3391.321  16.623   0.025 1.37800    5.709024  17.111   1.567   2.034   1.025  37  28  33  29
  L107-S1317     1758.791  3949.829  15.639   0.012 1.37800    5.709024  16.079   1.252   1.584   0.738  35  26  28  21
  L107-S1326     1440.423  4035.926  17.119   0.041 1.37800    5.709024  17.575   0.886   1.007   0.452  35  26  28  21
  L107-611       1259.037   168.830  13.855   0.003 1.18000    8.749450  14.287   0.870   0.997   0.469  87  64  87  62
  L107-612        695.047   185.817  13.837   0.003 1.18000    8.749450  14.267   0.914   1.089   0.544  83  61  83  58
  L107-614       1126.631   505.953  13.503   0.002 1.18000    8.749450  13.939   0.611   0.742   0.380  85  65  81  61
  L107-619         34.723  1041.596  11.701   0.001 1.18000    8.749450  12.121   0.625   0.766   0.386  92  70  68  48
  L107-626        162.478  1852.524  13.079   0.002 1.18000    8.749450  13.484   0.994   1.127   0.519 102  85 100  79
  L107-627        185.334  1970.690  12.916   0.002 1.18000    8.749450  13.351   0.781   0.916   0.457  92  76  87  75
  L107-636        738.238  3842.192  14.412   0.004 1.18000    8.749450  14.882   0.742   0.882   0.448  39  32  32  25
  L107-S20        251.016  2472.187  15.515   0.010 1.18000    8.749450  15.985   0.803   0.916   0.446  62  47  60  40
  L107-S57        157.455  1684.218  16.892   0.032 1.18000    8.749450  17.517   0.138   0.229   0.165  81  65  75  56
  L107-S193      1656.873    25.480  17.252   0.047 1.18000    8.749450  17.627   0.948   1.142   0.536  74  52  74  50
  L107-S197       936.215   107.115  12.894   0.002 1.18000    8.749450  13.329   1.022   1.169   0.521  84  55  84  56
  L107-S205      1189.657   166.246  16.486   0.023 1.18000    8.749450  16.890   0.814   0.959   0.478  85  60  85  58
  L107-S208       466.040   171.802  16.635   0.025 1.18000    8.749450  17.085   1.056   1.256   0.574  83  60  83  58
  L107-S210       113.892   215.197  17.271   0.046 1.18000    8.749450  17.752   0.825   0.997   0.491  83  60  83  58
  L107-S218       914.245   382.669  16.895   0.032 1.18000    8.749450  17.277   1.557   2.001   0.993  64  48  64  49
  L107-S220       973.670   401.877  16.569   0.024 1.18000    8.749450  17.029   1.163   1.434   0.649  60  48  60  51
  L107-S222       169.147   403.355  15.526   0.010 1.18000    8.749450  15.938   0.951   1.092   0.536  62  49  62  52
  L107-S247      1263.608   632.068  16.444   0.021 1.18000    8.749450  16.913   0.723   0.879   0.448  79  60  74  54
  L107-S250       401.269   690.990  15.931   0.014 1.18000    8.749450  16.355   0.893   1.097   0.545  82  61  77  56
  L107-S263       440.917   855.767  17.118   0.039 1.18000    8.749450  17.645   0.922   1.090   0.521  80  59  75  56
  L107-S266       312.210   892.995  14.365   0.004 1.18000    8.749450  14.801   0.774   0.870   0.427  80  60  76  56
  L107-S289        69.935  1130.812  17.405   0.048 1.18000    8.749450  17.798   0.989   1.134   0.525  77  61  76  54
  L107-S291      2016.962  1193.973  17.135   0.044 1.18000    8.749450  17.600   0.713   0.913   0.460  70  56  65  48
  L107-S298       819.221  1299.070  15.975   0.015 1.18000    8.749450  16.398   0.779   0.880   0.431  76  58  74  51
  L107-S313      1203.897  1433.816  15.436   0.010 1.18000    8.749450  15.868   0.901   0.989   0.463  79  63  74  57
  L107-S319      1665.789  1524.357  16.138   0.017 1.18000    8.749450  16.638   0.931   1.151   0.541  67  51  62  44
  L107-S324      1942.822  1632.989  17.366   0.049 1.18000    8.749450  17.828   0.823   0.996   0.489  70  55  63  48
  L107-S327      1157.137  1685.624  15.504   0.009 1.18000    8.749450  15.950   0.150   0.256   0.175  79  62  74  57
  L107-S351       475.238  1938.493  16.686   0.026 1.18000    8.749450  17.174   0.885   1.065   0.515  52  40  43  31
  L107-S550      1691.086   113.161  15.845   0.014 1.18000    8.749450  16.276   0.813   0.964   0.483  79  51  77  53
  L107-S563      1845.179   574.834  14.073   0.004 1.18000    8.749450  14.505   0.988   1.105   0.541  76  56  71  49
  L107-S575      1844.880   885.995  16.015   0.015 1.18000    8.749450  16.443   1.388   1.664   0.752  72  52  67  48
  L107-S578      1863.219  1004.147  16.476   0.023 1.18000    8.749450  16.892   1.134   1.392   0.649  72  55  70  47
  L107-S579      1033.680  1010.745  12.569   0.001 1.18000    8.749450  13.008   0.990   1.150   0.529  82  61  76  51
